date,value
All Business,7640
All Business,5420
All Business,3140
All Business,2940
All Business,9280
All Business,1680
All Business,2420
All Business,34500
All Business,800
All Business,660
All Business,2100
All Business,11380
All Business,800
All Business,12320
All Business,5460
All Business,41340
All Business,3800
All Business,20420
All Business,11060
All Business,6720
All Business,13220
All Business,600
All Business,5800
All Business,8360
All Business,2140
All Business,20200
All Business,31780
All Business,33900
All Business,10840
All Business,11340
All Business,800
All Business,400
All Business,7440
All Business,15800
All Business,15380
All Business,900
All Business,16880
All Business,30280
All Business,400
All Business,3460
All Business,5220
All Business,12280
All Business,18320
All Business,620
All Business,17660
All Business,46380
All Business,660
All Business,6660
All Business,8740
All Business,38720
All Business,8700
All Business,174300
All Business,52000
All Business,1380
All Business,43060
All Business,39120
All Business,340
All Business,189280
All Business,11940
All Business,7720
All Business,24380
All Business,14020
All Business,660
All Business,2060
All Business,1140
All Business,1480
All Business,6920
All Business,920
All Business,6820
All Business,320
All Business,5580
All Business,2120
All Business,4020
All Business,680
All Business,6660
All Business,34960
All Business,11060
All Business,18580
All Business,8260
All Business,10580
All Business,1360
All Business,6880
All Business,1080
All Business,1600
All Business,940
All Business,3980
All Business,13200
All Business,25400
All Business,8800
All Business,10220
All Business,19920
All Business,21240
All Business,12300
All Business,22360
All Business,5860
All Business,11760
All Business,5580
All Business,2040
All Business,28340
All Business,4740
All Business,41060
All Business,15340
All Business,10100
All Business,580
All Business,117560
All Business,7000
All Business,3200
All Business,23240
All Business,5460
All Business,55460
All Business,37980
All Business,2700
All Business,180
All Business,3740
All Business,22400
All Business,1340
All Business,3180
All Business,54720
All Business,1200
All Business,320
All Business,20440
All Business,15640
All Business,17860
All Business,8480
All Business,14260
All Business,34260
All Business,5700
All Business,4960
All Business,10660
All Business,2520
All Business,1000
All Business,500
All Business,1740
All Business,60
All Business,10020
All Business,3820
All Business,320
All Business,13320
All Business,4740
All Business,6660
All Business,4040
All Business,3520
All Business,1320
All Business,2900
All Business,3380
All Business,7280
All Business,3140
All Business,2500
All Business,160
All Business,17420
All Business,5620
All Business,2640
All Business,23600
All Business,620
All Business,75200
All Business,1540
All Business,16940
All Business,940
All Business,93760
All Business,40000
All Business,6700
All Business,3920
All Business,300
All Business,27040
All Business,5480
All Business,8940
All Business,20340
All Business,28000
All Business,1800
All Business,4300
All Business,1320
All Business,13760
All Business,1740
All Business,9020
All Business,3060
All Business,200
All Business,6280
All Business,280
All Business,220
All Business,3900
All Business,9540
All Business,4140
All Business,640
All Business,1140
All Business,9360
All Business,5900
All Business,440
All Business,5300
All Business,4980
All Business,740
All Business,53620
All Business,1020
All Business,9020
All Business,58200
All Business,29820
All Business,10700
All Business,2240
All Business,2340
All Business,2520
All Business,2340
All Business,8740
All Business,8800
All Business,660
All Business,10100
All Business,4840
All Business,5060
All Business,540
All Business,18320
All Business,11180
All Business,520
All Business,1120
All Business,8920
All Business,2640
All Business,760
All Business,10800
All Business,2140
All Business,78320
All Business,42080
All Business,135940
All Business,2240
All Business,2780
All Business,2480
All Business,86600
All Business,3360
All Business,42560
All Business,15740
All Business,220
All Business,47120
All Business,13260
All Business,4100
All Business,1440
All Business,11240
All Business,5920
All Business,6020
All Business,73880
All Business,14820
All Business,9500
All Business,260
All Business,5060
All Business,20000
All Business,1820
All Business,5560
All Business,2740
All Business,37440
All Business,22920
All Business,500
All Business,4700
All Business,10240
All Business,39940
All Business,2700
All Business,1240
All Business,220
All Business,65300
All Business,6360
All Business,27360
All Business,22340
All Business,1860
All Business,29760
All Business,4500
All Business,2840
All Business,5940
All Business,3140
All Business,9460
All Business,29440
All Business,11240
All Business,201600
All Business,10060
All Business,9820
All Business,29140
All Business,4260
All Business,17260
All Business,6580
All Business,3100
All Business,4660
All Business,5880
All Business,3200
All Business,1620
All Business,35220
All Business,1860
All Business,3160
All Business,16240
All Business,680
All Business,8200
All Business,10080
All Business,4100
All Business,40800
All Business,4300
All Business,1140
All Business,400
All Business,18380
All Business,1020
All Business,54580
All Business,2620
All Business,1220
All Business,2360
All Business,520
All Business,9160
All Business,43980
All Business,120
All Business,200
All Business,25360
All Business,320
All Business,4200
All Business,2180
All Business,22040
All Business,440
All Business,2900
All Business,2940
All Business,3520
All Business,8320
All Business,2220
All Business,2840
All Business,2780
All Business,97640
All Business,7780
All Business,12900
All Business,21040
All Business,25480
All Business,2540
All Business,2740
All Business,57300
All Business,3680
All Business,17720
All Business,18080
All Business,1000
All Business,3620
All Business,140
All Business,8780
All Business,16280
All Business,3260
All Business,7740
All Business,1880
All Business,4360
All Business,2620
All Business,3940
All Business,2020
All Business,1220
All Business,55960
All Business,2620
All Business,8260
All Business,2780
